row,col,ch,ro,co,koo,p,i,j,out,ref,diff,match
0,0,0,0,0,0,0,0,0,776172,776172,0,1
0,0,1,0,0,0,0,0,1,742436,742436,0,1
0,0,2,0,0,0,0,0,2,740220,740220,0,1
0,0,3,0,0,0,0,0,3,732964,732964,0,1
0,0,4,0,0,0,0,0,4,767338,767338,0,1
0,0,5,0,0,0,0,0,5,730414,730414,0,1
0,0,6,0,0,0,0,0,6,694231,694231,0,1
0,0,7,0,0,0,0,0,7,804048,804048,0,1
0,0,8,0,0,0,0,0,8,725200,725200,0,1
0,0,9,0,0,0,0,0,9,751804,751804,0,1
0,0,10,0,0,0,0,0,10,768226,768226,0,1
0,0,11,0,0,0,0,0,11,708685,708685,0,1
0,0,12,0,0,0,0,0,12,754875,754875,0,1
0,0,13,0,0,0,0,0,13,733306,733306,0,1
0,0,14,0,0,0,0,0,14,759936,759936,0,1
0,0,15,0,0,0,0,0,15,736804,736804,0,1
0,1,0,0,0,0,0,1,0,750068,750068,0,1
0,1,1,0,0,0,0,1,1,738748,738748,0,1
0,1,2,0,0,0,0,1,2,732453,732453,0,1
0,1,3,0,0,0,0,1,3,732650,732650,0,1
0,1,4,0,0,0,0,1,4,750035,750035,0,1
0,1,5,0,0,0,0,1,5,707081,707081,0,1
0,1,6,0,0,0,0,1,6,704537,704537,0,1
0,1,7,0,0,0,0,1,7,758722,758722,0,1
0,1,8,0,0,0,0,1,8,755028,755028,0,1
0,1,9,0,0,0,0,1,9,738100,738100,0,1
0,1,10,0,0,0,0,1,10,699313,699313,0,1
0,1,11,0,0,0,0,1,11,707110,707110,0,1
0,1,12,0,0,0,0,1,12,750647,750647,0,1
0,1,13,0,0,0,0,1,13,722182,722182,0,1
0,1,14,0,0,0,0,1,14,691911,691911,0,1
0,1,15,0,0,0,0,1,15,724859,724859,0,1
0,2,0,0,0,0,0,2,0,735687,735687,0,1
0,2,1,0,0,0,0,2,1,711929,711929,0,1
0,2,2,0,0,0,0,2,2,703055,703055,0,1
0,2,3,0,0,0,0,2,3,697452,697452,0,1
0,2,4,0,0,0,0,2,4,743628,743628,0,1
0,2,5,0,0,0,0,2,5,704831,704831,0,1
0,2,6,0,0,0,0,2,6,656872,656872,0,1
0,2,7,0,0,0,0,2,7,773634,773634,0,1
0,2,8,0,0,0,0,2,8,731672,731672,0,1
0,2,9,0,0,0,0,2,9,709895,709895,0,1
0,2,10,0,0,0,0,2,10,715120,715120,0,1
0,2,11,0,0,0,0,2,11,671500,671500,0,1
0,2,12,0,0,0,0,2,12,754213,754213,0,1
0,2,13,0,0,0,0,2,13,716078,716078,0,1
0,2,14,0,0,0,0,2,14,695774,695774,0,1
0,2,15,0,0,0,0,2,15,731568,731568,0,1
0,3,0,0,0,0,0,3,0,752314,752314,0,1
0,3,1,0,0,0,0,3,1,705938,705938,0,1
0,3,2,0,0,0,0,3,2,707924,707924,0,1
0,3,3,0,0,0,0,3,3,705908,705908,0,1
0,3,4,0,0,0,0,3,4,697780,697780,0,1
0,3,5,0,0,0,0,3,5,699733,699733,0,1
0,3,6,0,0,0,0,3,6,662102,662102,0,1
0,3,7,0,0,0,0,3,7,738836,738836,0,1
0,3,8,0,0,0,0,3,8,723918,723918,0,1
0,3,9,0,0,0,0,3,9,709333,709333,0,1
0,3,10,0,0,0,0,3,10,715612,715612,0,1
0,3,11,0,0,0,0,3,11,652271,652271,0,1
0,3,12,0,0,0,0,3,12,718101,718101,0,1
0,3,13,0,0,0,0,3,13,717307,717307,0,1
0,3,14,0,0,0,0,3,14,700766,700766,0,1
0,3,15,0,0,0,0,3,15,676574,676574,0,1
0,4,0,0,0,0,0,4,0,760466,760466,0,1
0,4,1,0,0,0,0,4,1,722490,722490,0,1
0,4,2,0,0,0,0,4,2,702264,702264,0,1
0,4,3,0,0,0,0,4,3,718067,718067,0,1
